CLP	MPP2	0.9904
GMP	CMP	0.9857
MPP1	CLP, MPP2	0.9832
ABSC	TBSC	0.9733
CMP, GMP	CLP, MPP1, MPP2	0.9712
CD8	CD4	0.9709
EDif	EPro	0.947
HSC	CLP, CMP, GMP, MPP1, MPP2	0.9432
Mono	Granu	0.9381
B_cell	CLP, CMP, GMP, HSC, MPP1, MPP2	0.9254
MEP	B_cell, CLP, CMP, GMP, HSC, MPP1, MPP2	0.9036
MTAC	ABSC, TBSC	0.8931
CD4, CD8	Granu, Mono	0.8842
EDif, EPro	ABSC, MTAC, TBSC	0.872
Eryth	B_cell, CLP, CMP, GMP, HSC, MEP, MPP1, MPP2	0.8686
CD4, CD8, Granu, Mono	B_cell, CLP, CMP, Eryth, GMP, HSC, MEP, MPP1, MPP2	0.8549
CLDC	ABSC, EDif, EPro, MTAC, TBSC	0.8402
B_cell, CD4, CD8, CLP, CMP, Eryth, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	ABSC, CLDC, EDif, EPro, MTAC, TBSC	0.6466
