MPP2	MPP1	0.9845
CMP	GMP	0.9754
CLP	MPP1, MPP2	0.9708
CMP, GMP	CLP, MPP1, MPP2	0.9659
HSC	CLP, CMP, GMP, MPP1, MPP2	0.9268
CD4	CD8	0.9224
MEP	CLP, CMP, GMP, HSC, MPP1, MPP2	0.9203
EPro	EDif	0.9199
B_cell	CLP, CMP, GMP, HSC, MEP, MPP1, MPP2	0.9176
Granu	CD4, CD8	0.896
Mono	CD4, CD8, Granu	0.8813
TBSC	EDif, EPro	0.8763
B_cell, CLP, CMP, GMP, HSC, MEP, MPP1, MPP2	CD4, CD8, Granu, Mono	0.8565
Eryth	B_cell, CD4, CD8, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.8435
MTAC	EDif, EPro, TBSC	0.8402
CLDC	EDif, EPro, MTAC, TBSC	0.7663
B_cell, CD4, CD8, CLP, CMP, Eryth, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	CLDC, EDif, EPro, MTAC, TBSC	0.6364
