MPP2	CMP	0.9531
Granu	GMP	0.9441
CD4	CD8	0.9388
MPP1	CMP, MPP2	0.9385
CLP	CMP, MPP1, MPP2	0.9325
EPro	EDif	0.9317
GMP, Granu	CLP, CMP, MPP1, MPP2	0.9211
Mono	CLP, CMP, GMP, Granu, MPP1, MPP2	0.9202
MEP	CLP, CMP, GMP, Granu, MPP1, MPP2, Mono	0.9081
HSC	CLP, CMP, GMP, Granu, MEP, MPP1, MPP2, Mono	0.9046
B_cell	CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.8989
MTAC	TBSC	0.894
CD4, CD8	B_cell, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.8832
CLDC	MTAC, TBSC	0.8637
EDif, EPro	CLDC, MTAC, TBSC	0.8528
Eryth	B_cell, CD4, CD8, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.7771
CLDC, EDif, EPro, MTAC, TBSC	B_cell, CD4, CD8, CLP, CMP, Eryth, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.735
