Granu	GMP	0.9988
MPP2	CMP	0.9985
CD4	CD8	0.9981
CLP	CMP, MPP2	0.9972
GMP, Granu	CLP, CMP, MPP2	0.9965
Mono	CLP, CMP, GMP, Granu, MPP2	0.9961
MPP1	HSC	0.9956
CLP, CMP, GMP, Granu, MPP2, Mono	HSC, MPP1	0.9919
EPro	EDif	0.9918
CD4, CD8	CLP, CMP, GMP, Granu, HSC, MPP1, MPP2, Mono	0.9901
MEP	CD4, CD8, CLP, CMP, GMP, Granu, HSC, MPP1, MPP2, Mono	0.9889
MTAC	TBSC	0.9888
B_cell	CD4, CD8, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.9871
EDif, EPro	MTAC, TBSC	0.9787
CLDC	EDif, EPro, MTAC, TBSC	0.9764
B_cell, CD4, CD8, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	CLDC, EDif, EPro, MTAC, TBSC	0.9164
Eryth	B_cell, CD4, CD8, CLDC, CLP, CMP, EDif, EPro, GMP, Granu, HSC, MEP, MPP1, MPP2, MTAC, Mono, TBSC	0.8998
