CMP	MPP2	0.994
GMP	Granu	0.9924
MPP1	HSC	0.9912
CD8	CD4	0.9911
CLP	CMP, MPP2	0.9903
Mono	CLP, CMP, MPP2	0.9886
GMP, Granu	CLP, CMP, MPP2, Mono	0.9882
HSC, MPP1	CLP, CMP, GMP, Granu, MPP2, Mono	0.9864
ABSC	TBSC	0.9851
MEP	CLP, CMP, GMP, Granu, HSC, MPP1, MPP2, Mono	0.9845
EDif	EPro	0.9845
B_cell	CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.9811
MTAC	ABSC, TBSC	0.9796
CD4, CD8	B_cell, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.9724
CLDC	ABSC, MTAC, TBSC	0.9689
EDif, EPro	ABSC, CLDC, MTAC, TBSC	0.9626
B_cell, CD4, CD8, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	ABSC, CLDC, EDif, EPro, MTAC, TBSC	0.898
Eryth	ABSC, B_cell, CD4, CD8, CLDC, CLP, CMP, EDif, EPro, GMP, Granu, HSC, MEP, MPP1, MPP2, MTAC, Mono, TBSC	0.8745
