MPP1	MPP2	0.9845
GMP	CMP	0.9754
CLP	MPP1, MPP2	0.9708
CMP, GMP	CLP, MPP1, MPP2	0.9659
ABSC	TBSC	0.957
HSC	CLP, CMP, GMP, MPP1, MPP2	0.9268
CD8	CD4	0.9224
MEP	CLP, CMP, GMP, HSC, MPP1, MPP2	0.9203
EDif	EPro	0.9199
B_cell	CLP, CMP, GMP, HSC, MEP, MPP1, MPP2	0.9176
Granu	CD4, CD8	0.896
Mono	CD4, CD8, Granu	0.8813
MTAC	ABSC, TBSC	0.8713
B_cell, CLP, CMP, GMP, HSC, MEP, MPP1, MPP2	CD4, CD8, Granu, Mono	0.8565
EDif, EPro	ABSC, MTAC, TBSC	0.8451
Eryth	B_cell, CD4, CD8, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.8435
CLDC	ABSC, EDif, EPro, MTAC, TBSC	0.778
B_cell, CD4, CD8, CLP, CMP, Eryth, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	ABSC, CLDC, EDif, EPro, MTAC, TBSC	0.6327
