CMP	MPP2	0.9531
GMP	Granu	0.9441
CD8	CD4	0.9388
MPP1	CMP, MPP2	0.9385
CLP	CMP, MPP1, MPP2	0.9325
EDif	EPro	0.9317
GMP, Granu	CLP, CMP, MPP1, MPP2	0.9211
Mono	CLP, CMP, GMP, Granu, MPP1, MPP2	0.9202
ABSC	TBSC	0.9121
MEP	CLP, CMP, GMP, Granu, MPP1, MPP2, Mono	0.9081
HSC	CLP, CMP, GMP, Granu, MEP, MPP1, MPP2, Mono	0.9046
B_cell	CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.8989
MTAC	ABSC, TBSC	0.8923
CD4, CD8	B_cell, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.8832
CLDC	ABSC, MTAC, TBSC	0.8678
EDif, EPro	ABSC, CLDC, MTAC, TBSC	0.8543
Eryth	B_cell, CD4, CD8, CLP, CMP, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.7771
ABSC, CLDC, EDif, EPro, MTAC, TBSC	B_cell, CD4, CD8, CLP, CMP, Eryth, GMP, Granu, HSC, MEP, MPP1, MPP2, Mono	0.7339
